"delta","sigma","IA_N","FA_N","N_max","Pr_fav","Pr_prom","Pr_unfav","Sig_fixed","Sig_fixed_fav","Sig_fixed_prom","Sig_fixed_unfav","Sig_ada","Sig_ada_fav","Sig_ada_prom","Sig_ada_unfav","ASN","ASN_fav","ASN_prom","ASN_unfav"
0,5,208,442,884,0.0349,0.0851,0.88,0.049,0.243553008595989,0.105757931844888,0.0357954545454545,0.0476,0.243553008595989,0.0893066980023502,0.0357954545454545,466.2776,442,727.283196239718,442
0,5.1,208,442,884,0.0404,0.0809,0.8787,0.0517,0.299504950495049,0.100123609394314,0.0358484124274496,0.0518,0.299504950495049,0.101359703337454,0.0358484124274496,465.151,442,728.168108776267,442
0,5.2,208,442,884,0.0418,0.0827,0.8755,0.0485,0.255980861244019,0.0616686819830713,0.0373500856653341,0.0494,0.255980861244019,0.0725513905683192,0.0373500856653341,465.3509,442,724.356711003628,442
0,5.3,208,442,884,0.0404,0.0801,0.8795,0.0557,0.27970297029703,0.107365792759051,0.0407049459920409,0.0543,0.27970297029703,0.0898876404494382,0.0407049459920409,465.166,442,731.213483146067,442
0,5.4,208,442,884,0.0427,0.085,0.8723,0.0497,0.250585480093677,0.102352941176471,0.0347357560472315,0.048,0.250585480093677,0.0823529411764706,0.0347357560472315,466.2018,442,726.727058823529,442
0,5.5,208,442,884,0.042,0.0838,0.8742,0.0517,0.297619047619048,0.0966587112171838,0.035575383207504,0.0501,0.297619047619048,0.0775656324582339,0.035575383207504,466.4757,442,734.072792362768,442
0,5.6,208,442,884,0.041,0.0852,0.8738,0.0486,0.268292682926829,0.0833333333333333,0.0349050125886931,0.0469,0.268292682926829,0.0633802816901408,0.0349050125886931,465.8534,442,721.969483568075,442
0,5.7,208,442,884,0.0392,0.0821,0.8787,0.0461,0.26530612244898,0.0876979293544458,0.0324342779105497,0.046,0.26530612244898,0.0864799025578563,0.0324342779105497,465.7936,442,731.812423873325,442
0,5.8,208,442,884,0.0453,0.0824,0.8723,0.0523,0.300220750551876,0.0849514563106796,0.036340708471856,0.0524,0.300220750551876,0.0861650485436893,0.036340708471856,465.2712,442,724.417475728155,442
0,5.9,208,442,884,0.0385,0.0816,0.8799,0.0513,0.277922077922078,0.0992647058823529,0.0369360154563019,0.0521,0.277922077922078,0.10906862745098,0.0369360154563019,466.1233,442,737.628676470588,442
0,6,208,442,884,0.0409,0.0832,0.8759,0.053,0.273838630806846,0.0985576923076923,0.0383605434410321,0.052,0.273838630806846,0.0865384615384615,0.0383605434410321,465.6066,442,725.733173076923,442
0,6.1,208,442,884,0.042,0.0842,0.8738,0.0489,0.25,0.0914489311163895,0.0351338979171435,0.048,0.25,0.0807600950118765,0.0351338979171435,465.8654,442,725.437054631829,442
0,6.2,208,442,884,0.0375,0.0796,0.8829,0.0477,0.210666666666667,0.10427135678392,0.035677879714577,0.0455,0.210666666666667,0.0766331658291457,0.035677879714577,464.5177,442,724.88567839196,442
0,6.3,208,442,884,0.0385,0.0842,0.8773,0.0487,0.241558441558442,0.0807600950118765,0.0371594665450815,0.049,0.241558441558442,0.0843230403800475,0.0371594665450815,466.2932,442,730.517814726841,442
0,6.4,208,442,884,0.0395,0.0832,0.8773,0.05,0.293670886075949,0.0973557692307692,0.0345377863900604,0.0503,0.293670886075949,0.100961538461538,0.0345377863900604,465.8891,442,729.128605769231,442
0,6.5,208,442,884,0.0396,0.0849,0.8755,0.0491,0.267676767676768,0.0954063604240283,0.0347230154197601,0.0478,0.267676767676768,0.0800942285041225,0.0347230154197601,465.0486,442,713.479387514723,442
