"delta","sigma","IA_N","FA_N","N_max","Pr_fav","Pr_prom","Pr_unfav","Sig_fixed","Sig_fixed_fav","Sig_fixed_prom","Sig_fixed_unfav","Sig_ada","Sig_ada_fav","Sig_ada_prom","Sig_ada_unfav","ASN","ASN_fav","ASN_prom","ASN_unfav"
1,5,208,442,884,0.3645,0.2361,0.3994,0.5492,0.843072702331962,0.586615840745447,0.258888332498748,0.5973,0.843072702331962,0.790343074968234,0.258888332498748,502.7254,442,699.202033036849,442
1.01,5,208,442,884,0.376,0.2314,0.3926,0.5664,0.85186170212766,0.596369922212619,0.275343861436577,0.61,0.85186170212766,0.784788245462403,0.275343861436577,498.758,442,687.280898876405,442
1.02,5,208,442,884,0.3872,0.2338,0.379,0.575,0.856663223140496,0.594525235243798,0.275197889182058,0.6209,0.856663223140496,0.790846877673225,0.275197889182058,498.9086,442,685.407185628742,442
1.03,5,208,442,884,0.388,0.2285,0.3835,0.5761,0.856958762886598,0.605689277899344,0.274315514993481,0.6204,0.856958762886598,0.799562363238512,0.274315514993481,496.9759,442,682.594748358862,442
1.04,5,208,442,884,0.4048,0.2306,0.3646,0.5959,0.869071146245059,0.612749349522984,0.281952825013714,0.6402,0.869071146245059,0.804856895056375,0.281952825013714,500.2558,442,694.627059843885,442
1.05,5,208,442,884,0.4015,0.2324,0.3661,0.5854,0.859526774595268,0.604130808950086,0.272876263316034,0.6347,0.859526774595268,0.816265060240964,0.272876263316034,499.2824,442,688.481927710843,442
1.06,5,208,442,884,0.4063,0.2353,0.3584,0.6073,0.874230863893675,0.628984275393115,0.290457589285714,0.6537,0.874230863893675,0.826179345516362,0.290457589285714,499.1793,442,685.005949851254,442
1.07,5,208,442,884,0.4124,0.2362,0.3514,0.6076,0.863239573229874,0.616003386960203,0.301935116676153,0.657,0.863239573229874,0.825148179508891,0.301935116676153,500.2113,442,688.449195596952,442
1.08,5,208,442,884,0.4232,0.2289,0.3479,0.6222,0.879253308128544,0.64089121887287,0.297211842483472,0.6645,0.879253308128544,0.825688073394495,0.297211842483472,497.8312,442,685.910878112713,442
1.09,5,208,442,884,0.4262,0.2285,0.3453,0.6294,0.873768183951197,0.645951859956236,0.316825948450623,0.6725,0.873768183951197,0.834573304157549,0.316825948450623,499.3945,442,693.17943107221,442
1.1,5,208,442,884,0.4345,0.2239,0.3416,0.6381,0.882623705408516,0.639124609200536,0.326405152224824,0.6804,0.882623705408516,0.828048235819562,0.326405152224824,496.6451,442,686.060294774453,442
1.11,5,208,442,884,0.4363,0.2329,0.3308,0.6499,0.890671556268622,0.658222413052812,0.326481257557437,0.6921,0.890671556268622,0.839416058394161,0.326481257557437,497.5631,442,680.570631172177,442
1.12,5,208,442,884,0.4283,0.2357,0.336,0.6476,0.888162502918515,0.655494272380144,0.335416666666667,0.692,0.888162502918515,0.843869325413661,0.335416666666667,499.449,442,685.737802291048,442
1.13,5,208,442,884,0.4485,0.2288,0.3227,0.6694,0.896321070234114,0.673951048951049,0.350790207623179,0.7097,0.896321070234114,0.850087412587413,0.350790207623179,497.698,442,685.435314685315,442
1.14,5,208,442,884,0.4563,0.2237,0.32,0.6623,0.887573964497041,0.653106839517211,0.3475,0.7073,0.887573964497041,0.854269110415735,0.3475,496.4519,442,685.41484130532,442
1.15,5,208,442,884,0.4607,0.2333,0.306,0.6751,0.901020186672455,0.661380197171024,0.345424836601307,0.7229,0.901020186672455,0.866266609515645,0.345424836601307,499.8774,442,690.081440205744,442
1.16,5,208,442,884,0.4584,0.2321,0.3095,0.6774,0.898560209424084,0.666953899181387,0.35767366720517,0.7232,0.898560209424084,0.864282636794485,0.35767366720517,498.4177,442,685.074967686342,442
1.17,5,208,442,884,0.4661,0.228,0.3059,0.6844,0.900021454623471,0.679824561403509,0.359267734553776,0.7296,0.900021454623471,0.878070175438596,0.359267734553776,497.8073,442,686.768859649123,442
1.18,5,208,442,884,0.4736,0.2298,0.2966,0.7035,0.912795608108108,0.687554395126197,0.381658799730276,0.7452,0.912795608108108,0.869016536118364,0.381658799730276,497.4945,442,683.490426457789,442
1.19,5,208,442,884,0.4852,0.2234,0.2914,0.7002,0.909934047815334,0.678603401969561,0.367536032944406,0.7432,0.909934047815334,0.871083258728738,0.367536032944406,495.582,442,681.847806624888,442
1.2,5,208,442,884,0.4833,0.2266,0.2901,0.7055,0.907717773639561,0.697705207413945,0.374698379869011,0.7472,0.907717773639561,0.881729920564872,0.374698379869011,495.6536,442,678.776699029126,442
1.21,5,208,442,884,0.4963,0.2205,0.2832,0.7202,0.91315736449728,0.71156462585034,0.388771186440678,0.7587,0.91315736449728,0.886167800453515,0.388771186440678,495.6312,442,685.225396825397,442
1.22,5,208,442,884,0.4939,0.2209,0.2852,0.7198,0.916784774245799,0.697600724309642,0.39586255259467,0.7628,0.916784774245799,0.892258940697148,0.39586255259467,495.2474,442,683.047532820281,442
1.23,5,208,442,884,0.5116,0.2167,0.2717,0.7324,0.915754495699765,0.712505768343332,0.403018034596982,0.7701,0.915754495699765,0.886479003230272,0.403018034596982,493.1094,442,677.853253345639,442
1.24,5,208,442,884,0.515,0.2237,0.2613,0.7399,0.920194174757282,0.719266875279392,0.402219670876387,0.7799,0.920194174757282,0.898077782744747,0.402219670876387,496.3905,442,685.14036656236,442
